character,characterSymbol,characterName,escapeSequence,controlEscapeSequence,characterUse,impactedByCaseInsensitiveOrder,characterForCaseInsensitiveOrder_UTF8_base16,impactedByAccentInsensitiveOrder,characterForAccentInsensitiveOrder_UTF8_base16,isUnicodeCharacterSet,UTF16_base10,UTF16_base16,uPlus4HexDigits,UTF8_base10,UTF8_base16,UTF8_base16_Byte1,UTF8_Byte1_in_CP1252_base16,UTF8_base16_Byte2,UTF8_Byte2_in_CP1252_base16,UTF8_base16_Byte3,UTF8_Byte3_in_CP1252_base16,UTF8_base16_Byte4,UTF8_Byte4_in_CP1252_base16,UTF8_base16_ByteCount,unicodeDecimalNumberBadConvert,UTF8_to_UTF16_base16_decomp,UTF8_to_CP1252_base16_decomp,UTF8_to_CP1252_base16_decomp_addsChar,similarCharacter_UTF8_base10,isAsciiCharacterSet,ASCII_base10,asciiIndexNotAssigned,ASCII_base8,ASCII_base16,ASCII_base2,isCP1252CharacterSet,CP1252_base10,cp1252IndexNotAssigned,CP1252_base16,CP1252_in_UTF8_base16,isISO_8859_1CharacterSet,ISO_8859_1_base10,ISO_8859_1_base16,isEBCDICCharacterSet,EBCDIC_base10,EBCDIC_base16,isHTMLCharacterSet,HTML_base10,HTML_base16,HTML_name,printLength,isMirrored,isLetter,isLowerCaseLetter,isLetterModifier,isNumber,isPunctuation,isSymbol,isMathSymbol,isPrintable,isControl,isEnglish,isChinese,isCurrency,isWhiteSpace,isAsciiHexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Bytes,isCP1252HexInUnicodeUTF8Byte1,isCP1252HexInUnicodeUTF8Byte2,isCP1252HexInUnicodeUTF8Byte3,isCP1252HexInUnicodeUTF8Byte4,isUTF8_UTF16_equal,IsIndexMatchForCharacter,descLink,imgLink,keyboardKeys
Ý,,LATIN CAPITAL LETTER Y WITH ACUTE,,,,1,,,,1,221,0xDD,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,221,,0xDD,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00DD/index.htm,
Þ,,LATIN CAPITAL LETTER THORN,,,,1,,,,1,222,0xDE,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,222,,0xDE,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00DE/index.htm,
ß,,LATIN SMALL LETTER SHARP S,,,,0,,,,1,223,,,,0xc3 0x9f   ,0xc3 0x9f,0,,0,,0,,0,4,,,,0,,0,,,,0xE1,,1,223,,0xDF,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c3 009f/index.htm,
à,,latin small letter a with grave accent,,,,0,,,,1,224,0xE0,,,0xc3 0x80   ,0xc3 0x80,0,,0,,0,,0,4,,,,0,,0,,,,0x85,,1,224,,0xE0,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00E0/index.htm,
á,,latin Small letter a with acute accent; a-acute,,,,0,,,,1,225,,,,0xc3 0x81   ,0xc3 0x81,0,,0,,0,,0,4,,,,0,,0,,,,0xA0,,1,225,,0xE1,1,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,1,1,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c3 0081/index.htm,
ã,,LATIN CAPITAL LETTER A WITH TILDE,,,,1,,,,1,227,0xE3,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,227,,0xE3,1,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,1,1,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00E3/index.htm,
µ,,MICRO SIGN,,,,,,,,1,230,,,,0xc2 0xb5   ,0xc2 0xb5,0,,0,,0,,0,4,,,,0,,0,,,,0xE6,,1,181,,0xB5,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c2 00b5/index.htm,
í,,LATIN Small LETTER I WITH ACUTE,,,,0,,,,1,237,0xED,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,237,,0xED,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00ED/index.htm,
ð,,LATIN Small LETTER ETH,,,,0,,,,1,240,0xF0,,,   ,,0,,0,,0,,0,3,,,,0,,0,,,,,,1,240,,0xF0,1,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,1,1,1,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00F0/index.htm,
ñ,,LATIN Small LETTER N WITH TILDE,,,,0,,,,1,241,,,,0xc3 0x91   ,0xc3 0x91,0,,0,,0,,0,4,,,,0,,0,,,,0xA4,,1,241,,0xF1,0,,,,,,,,,,,,,1,,,0,0,,,1,0,,,,0,0,0,0,0,0,0,,,,https://www.fileformat.info/info/unicode/char/00c3 0091/index.htm,
